בית הכרם,8 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
שלומי,גליל מערבי,צפון,יהודי,מועצה מקומית,5.85,"  8,258 ",6,3
חורפיש,גליל מערבי,צפון,דרוזי,מועצה מקומית,5.03,"  6,786 ",5,2
כפר ורדים,גליל מערבי,צפון,יהודי,מועצה מקומית,4.86,"  5,600 ",9,3
מזרעה,גליל מערבי,צפון,ערבי,מועצה מקומית,0.98,"  3,908 ",4,4
פסוטה,גליל מערבי,צפון,ערבי,מועצה מקומית,11.05,"  3,408 ",7,2
מעיליא,גליל מערבי,צפון,ערבי,מועצה מקומית,1.63,"  3,227 ",7,3
תפן,גליל מערבי,צפון,תעשייתי,מ.א. תעשייתית,2.7,  -   ,,
ג'דיידה-מכר,גליל מערבי,צפון,ערבי,מועצה מקומית,9.09,"  20,225 ",3,4
ירכא,גליל מערבי,צפון,דרוזי,מועצה מקומית,15.63,"  16,650 ",3,3
ג'וליס,גליל מערבי,צפון,דרוזי,מועצה מקומית,4,"  6,765 ",5,4
כפר יאסיף,גליל מערבי,צפון,ערבי,מועצה מקומית,2.66,"  10,559 ",5,4
אבו סנאן,גליל מערבי,צפון,דרוזי,מועצה מקומית,6.7,"  14,489 ",3,4
כסרא-סמיע,גליל מערבי,צפון,דרוזי,מועצה מקומית,14.09,"  9,345 ",3,3
פקיעין (בוקייעה),גליל מערבי,צפון,דרוזי,מועצה מקומית,5.51,"  6,093 ",5,3
,,,,,,,,
יהודה ושומרון,18 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
מודיעין עילית,יהודה ושומרון,יהודה ושומרון,חרדי,עירייה,4.64,"  89,787 ",1,6
מטה בנימין,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה אזורית,660.2,"  80,020 ",5,5
גבעת זאב,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,4.74,"  24,168 ",4,6
אורנית,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,1.91,"  9,985 ",8,6
אלפי מנשה,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,4.71,"  8,033 ",8,6
קרני שומרון,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,7.59,"  10,572 ",6,5
בית אל,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,0.59,"  6,424 ",4,4
ערבות הירדן,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה אזורית,792.8,"  7,264 ",6,3
קדומים,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,3.3,"  4,572 ",5,5
הר אדר,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,1.11,"  4,274 ",9,6
עמנואל,יהודה ושומרון,יהודה ושומרון,חרדי,מועצה מקומית,3.38,"  5,620 ",2,5
אלקנה,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,2.52,"  4,424 ",7,6
מגילות ים המלח,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה אזורית,726.2,"  2,619 ",7,3
שומרון,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה אזורית,805.8,"  48,170 ",6,5
קרית ארבע,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,4.1,"  7,578 ",3,3
הר חברון,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה אזורית,,"  11,827 ",5,3
שער השומרון,יהודה ושומרון,יהודה ושומרון,יהודי,מועצה מקומית,,"  8,763 ",,
מעלה אדומים,יהודה ושומרון,יהודה ושומרון,יהודי,עירייה,,"  36,402 ",6,5
,,,,,,,,
כנרת ועמקים,15 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
טבריה,כנרת ועמקים,צפון,יהודי,עירייה,16.19,"  51,388 ",2,3
מגאר,כנרת ועמקים,צפון,דרוזי,עירייה,20.7,"  23,418 ",3,3
בית שאן,כנרת ועמקים,צפון,יהודי,עירייה,7.39,"  20,158 ",4,3
טורעאן,כנרת ועמקים,צפון,ערבי,מועצה מקומית,11.91,"  14,886 ",3,3
עמק הירדן,כנרת ועמקים,צפון,יהודי,מועצה אזורית,183.3,"  15,063 ",7,2
עמק המעיינות,כנרת ועמקים,צפון,יהודי,מועצה אזורית,249.24,"  15,689 ",6,2
הגליל התחתון,כנרת ועמקים,צפון,יהודי,מועצה אזורית,192.94,"  13,329 ",7,3
בועיינה-נוג'ידאת,כנרת ועמקים,צפון,בדואי,מועצה מקומית,7.11,"  10,588 ",3,3
אל-בטוף,כנרת ועמקים,צפון,בדואי,מועצה אזורית,3.85,"  9,317 ",2,3
שבלי - אום אל-גנם,כנרת ועמקים,צפון,בדואי,מועצה מקומית,2.89,"  6,449 ",3,3
עיילבון,כנרת ועמקים,צפון,ערבי,מועצה מקומית,4.9,"  5,798 ",5,3
כפר תבור,כנרת ועמקים,צפון,יהודי,מועצה מקומית,12.26,"  4,337 ",8,3
יבנאל,כנרת ועמקים,צפון,יהודי,מועצה מקומית,31.21,"  4,626 ",2,3
כפר כמא,כנרת ועמקים,צפון,צ'רקסי,מועצה מקומית,8.83,"  3,477 ",6,3
מגדל,כנרת ועמקים,צפון,יהודי,מועצה מקומית,11.63,"  2,091 ",4,2
,,,,,,,,
המפרץ,18 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
ביר אל-מכסור,המפרץ,צפון,בדואי,מועצה מקומית,5.83,"  11,016 ",2,4
קרית אתא,המפרץ,חיפה,יהודי,עירייה,17.34,"  61,925 ",6,5
קרית מוצקין,המפרץ,חיפה,יהודי,עירייה,3.84,"  50,722 ",7,6
קרית ים,המפרץ,חיפה,יהודי,עירייה,5.73,"  41,487 ",5,6
קרית ביאליק,המפרץ,חיפה,יהודי,עירייה,8.46,"  46,168 ",6,6
שפרעם,המפרץ,צפון,ערבי,עירייה,19.58,"  43,640 ",3,5
רכסים,המפרץ,חיפה,חרדי,מועצה מקומית,3.21,"  15,001 ",2,5
טמרה,המפרץ,צפון,ערבי,עירייה,29.77,"  36,745 ",3,4
יקנעם עילית,המפרץ,צפון,יהודי,עירייה,8.31,"  24,967 ",7,5
טירת הכרמל,המפרץ,חיפה,יהודי,עירייה,6.71,"  32,295 ",6,5
קרית טבעון,המפרץ,חיפה,יהודי,מועצה מקומית,8.25,"  18,862 ",8,5
דאלית אל-כרמל,המפרץ,חיפה,דרוזי,מועצה מקומית,9.44,"  18,293 ",5,4
זבולון,המפרץ,חיפה,יהודי,מועצה אזורית,61.71,"  13,514 ",5,5
אעבלין,המפרץ,צפון,ערבי,מועצה מקומית,12.08,"  13,628 ",3,5
עספיא,המפרץ,חיפה,דרוזי,מועצה מקומית,7.18,"  13,168 ",5,4
בסמת טבעון,המפרץ,צפון,בדואי,מועצה מקומית,3.93,"  8,265 ",3,4
נשר,המפרץ,חיפה,יהודי,עירייה,12.94,"  22,336 ",7,5
כאבול,המפרץ,צפון,ערבי,מועצה מקומית,6.95,"  12,525 ",3,4
,,,,,,,,
נגב מזרחי,15 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
דימונה,נגב מזרחי,דרום,יהודי,עירייה,220.44,"  39,445 ",4,2
ערד,נגב מזרחי,דרום,יהודי,עירייה,126.13,"  29,579 ",3,2
ערערה בנגב,נגב מזרחי,דרום,בדואי,מועצה מקומית,14.03,"  21,381 ",1,2
כסיפה,נגב מזרחי,דרום,בדואי,מועצה מקומית,13.69,"  20,851 ",1,2
חורה,נגב מזרחי,דרום,בדואי,מועצה מקומית,8.72,"  22,732 ",1,3
אל קסום,נגב מזרחי,דרום,בדואי,מועצה אזורית,38.69,"  20,566 ",1,3
ירוחם,נגב מזרחי,דרום,יהודי,מועצה מקומית,58.6,"  11,942 ",4,2
שגב שלום,נגב מזרחי,דרום,בדואי,מועצה מקומית,5.95,"  15,823 ",1,3
מיתר,נגב מזרחי,דרום,יהודי,מועצה מקומית,38.83,"  11,617 ",9,3
נווה מדבר,נגב מזרחי,דרום,בדואי,מועצה אזורית,32.75,"  14,222 ",1,2
רמת נגב,נגב מזרחי,דרום,יהודי,מועצה אזורית,4095.83,"  8,467 ",6,1
מצפה רמון,נגב מזרחי,דרום,יהודי,מועצה מקומית,76.77,"  5,659 ",3,1
חבל אילות,נגב מזרחי,דרום,יהודי,מועצה אזורית,2631.15,"  5,113 ",5,1
הערבה התיכונה,נגב מזרחי,דרום,יהודי,מועצה אזורית,1538.24,"  4,227 ",7,1
תל שבע,נגב מזרחי,דרום,בדואי,מועצה מקומית,9.42,"  24,931 ",1,3
,,,,,,,,
נגב מערבי,11 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
רהט,נגב מערבי,דרום,בדואי,עירייה,33.49,"  78,179 ",2,4
נתיבות,נגב מערבי,דרום,יהודי,עירייה,15.27,"  54,828 ",3,4
אופקים,נגב מערבי,דרום,יהודי,עירייה,10.38,"  39,388 ",3,3
שדרות,נגב מערבי,דרום,יהודי,עירייה,6.34,"  36,284 ",5,4
אשכול,נגב מערבי,דרום,יהודי,מועצה אזורית,733.09,"  15,754 ",6,2
לקיה,נגב מערבי,דרום,בדואי,מועצה מקומית,6.86,"  18,916 ",2,3
מרחבים,נגב מערבי,דרום,יהודי,מועצה אזורית,495.37,"  14,953 ",6,3
בני שמעון,נגב מערבי,דרום,יהודי,מועצה אזורית,380.86,"  11,662 ",7,3
שדות נגב,נגב מערבי,דרום,יהודי,מועצה אזורית,114.65,"  11,480 ",6,3
שער הנגב,נגב מערבי,דרום,יהודי,מועצה אזורית,181.07,"  9,751 ",7,4
חוף אשקלון,נגב מערבי,דרום,יהודי,מועצה אזורית,180.05,"  19,981 ",7,5
,,,,,,,,
השרון,15 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
כפר סבא,השרון,מרכז,יהודי,עירייה,14.48,"  97,916 ",8,8
רעננה,השרון,מרכז,יהודי,עירייה,14.86,"  82,014 ",8,8
הוד השרון,השרון,מרכז,יהודי,עירייה,19.27,"  65,125 ",9,8
טייבה,השרון,מרכז,ערבי,עירייה,18.91,"  46,772 ",3,6
דרום השרון,השרון,מרכז,יהודי,מועצה אזורית,96.29,"  33,644 ",8,7
כפר קאסם,השרון,מרכז,ערבי,עירייה,9.3,"  26,844 ",4,7
לב השרון,השרון,מרכז,יהודי,מועצה אזורית,54.92,"  22,736 ",8,6
קלנסווה,השרון,מרכז,ערבי,עירייה,8.34,"  24,799 ",3,6
קדימה-צורן,השרון,מרכז,יהודי,מועצה מקומית,10.49,"  22,100 ",8,6
ג'לג'וליה,השרון,מרכז,ערבי,מועצה מקומית,1.9,"  10,898 ",3,7
כוכב יאיר,השרון,מרכז,יהודי,מועצה מקומית,3.05,"  9,143 ",9,6
כפר ברא,השרון,מרכז,ערבי,מועצה מקומית,2.2,"  3,952 ",4,7
טירה,השרון,מרכז,ערבי,עירייה,11.85,"  27,495 ",5,6
תל מונד,השרון,מרכז,יהודי,מועצה מקומית,7.13,"  14,708 ",9,6
כפר יונה,השרון,מרכז,יהודי,עירייה,11.34,"  29,494 ",7,6
,,,,,,,,
שורק דרומי,10 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
מזכרת בתיה,שורק דרומי,מרכז,יהודי,מועצה מקומית,7.42,"  16,317 ",8,6
גדרה,שורק דרומי,מרכז,יהודי,מועצה מקומית,11.43,"  30,566 ",7,6
קרית מלאכי,שורק דרומי,דרום,יהודי,עירייה,4.59,"  27,176 ",3,6
באר טוביה,שורק דרומי,דרום,יהודי,מועצה אזורית,127.64,"  22,726 ",7,6
קרית עקרון,שורק דרומי,מרכז,יהודי,מועצה מקומית,2.33,"  11,079 ",5,7
נחל שורק,שורק דרומי,מרכז,יהודי,מועצה אזורית,28.33,"  10,278 ",5,6
יואב,שורק דרומי,דרום,יהודי,מועצה אזורית,197.95,"  9,077 ",8,5
ברנר,שורק דרומי,מרכז,יהודי,מועצה אזורית,36.92,"  8,009 ",8,7
"בני עי""ש",שורק דרומי,מרכז,יהודי,מועצה מקומית,0.82,"  6,465 ",5,6
חבל יבנה,שורק דרומי,מרכז,יהודי,מועצה אזורית,34.72,"  6,572 ",6,6
,,,,,,,,
מישור החוף,10 רשויות,,,,,,,
רשות,אשכול,מחוז,מגזר רשות,מעמד מוניציפלי,"שטח (קמ""ר)"," אוכלוסייה דצמבר 2024 (למ""ס) ","אשכול כלכלי-חברתי 2021 (למ""ס)","אשכול פריפריאליות 2020 (למ""ס)"
חוף הכרמל,מישור החוף,חיפה,יהודי,מועצה אזורית,194.92,"  35,258 ",8,5
זכרון יעקב,מישור החוף,חיפה,יהודי,מועצה מקומית,31.53,"  24,078 ",8,5
בנימינה-גבעת עדה,מישור החוף,חיפה,יהודי,מועצה מקומית,24.4,"  15,389 ",8,5
פוריידיס,מישור החוף,חיפה,ערבי,מועצה מקומית,4.06,"  13,484 ",3,5
אלונה,מישור החוף,חיפה,יהודי,מועצה אזורית,27.03,"  2,041 ",8,4
ג'סר א-זרקא,מישור החוף,חיפה,ערבי,מועצה מקומית,2.02,"  15,805 ",2,5
מנשה,מישור החוף,חיפה,יהודי,מועצה אזורית,111.82,"  22,185 ",7,5
אום אל-פחם,מישור החוף,חיפה,ערבי,עירייה,26.03,"  60,194 ",2,5
כפר קרע,מישור החוף,חיפה,ערבי,מועצה מקומית,7.81,"  20,927 ",5,5
פרדס חנה-כרכור,מישור החוף,חיפה,יהודי,מועצה מקומית,22.84,"  46,032 ",7,6
